MANHANVIEN,MABOPHAN,MACHINHANH,NGAYVAOLAM,NGAYNGHIVIEC,HESOLUONG
NV00000027,BOPHAN0004,CN00000001,2019-09-23,,1.4
NV00000156,BOPHAN0003,CN00000004,2012-02-22,2013-10-24,1.68
NV00000163,BOPHAN0002,CN00000002,2018-06-04,,1.33
NV00000088,BOPHAN0004,CN00000002,2011-09-19,,1.58
NV00000084,BOPHAN0003,CN00000006,2012-03-20,2013-07-24,1.28
NV00000150,BOPHAN0003,CN00000007,2016-01-06,,1.89
NV00000083,BOPHAN0001,CN00000009,2013-02-27,2015-11-01,1.09
NV00000120,BOPHAN0003,CN00000004,2010-02-11,,1.74
NV00000129,BOPHAN0002,CN00000005,2011-02-05,,1.61
NV00000113,BOPHAN0002,CN00000009,2015-09-08,2016-07-27,1.54
NV00000055,BOPHAN0002,CN00000007,2012-10-28,,1.85
NV00000122,BOPHAN0001,CN00000003,2010-07-09,,1.2
NV00000191,BOPHAN0003,CN00000008,2014-11-21,,1.86
NV00000157,BOPHAN0003,CN00000009,2011-06-30,2013-10-21,1.38
NV00000167,BOPHAN0003,CN00000005,2015-10-25,,1.11
NV00000199,BOPHAN0002,CN00000009,2015-01-20,2015-11-13,1.22
NV00000093,BOPHAN0002,CN00000001,2013-07-27,2014-03-28,1.88
NV00000019,BOPHAN0003,CN00000004,2011-05-13,,1.83
NV00000126,BOPHAN0004,CN00000007,2019-04-28,2020-06-10,1.17
NV00000026,BOPHAN0004,CN00000001,2013-07-17,,1.83
NV00000069,BOPHAN0003,CN00000001,2012-02-11,2013-07-26,1.84
NV00000046,BOPHAN0004,CN00000004,2011-12-15,,1.21
NV00000184,BOPHAN0004,CN00000004,2018-04-26,,1.57
NV00000171,BOPHAN0004,CN00000006,2010-01-12,,1.6
NV00000186,BOPHAN0001,CN00000010,2013-09-23,2014-03-18,1.75
NV00000077,BOPHAN0004,CN00000006,2017-01-11,,1.96
NV00000167,BOPHAN0003,CN00000001,2017-01-08,2019-04-11,1.35
NV00000023,BOPHAN0001,CN00000007,2010-11-19,2013-03-08,1.2
NV00000030,BOPHAN0002,CN00000008,2014-07-16,,1.88
NV00000185,BOPHAN0003,CN00000003,2018-05-22,2019-03-26,1.94
NV00000020,BOPHAN0004,CN00000005,2013-03-21,,1.71
NV00000131,BOPHAN0001,CN00000006,2010-05-27,2012-09-19,1.16
NV00000166,BOPHAN0001,CN00000007,2013-04-24,,1.72
NV00000057,BOPHAN0002,CN00000001,2014-06-19,,1.74
NV00000181,BOPHAN0004,CN00000010,2019-08-27,,1.43
NV00000116,BOPHAN0001,CN00000005,2019-09-21,,1.8
NV00000129,BOPHAN0001,CN00000002,2010-02-12,,1.04
NV00000078,BOPHAN0002,CN00000009,2010-01-29,,1.22
NV00000087,BOPHAN0001,CN00000010,2019-08-26,2021-01-06,1.37
NV00000083,BOPHAN0003,CN00000009,2011-10-12,,1.15
NV00000054,BOPHAN0004,CN00000009,2017-01-23,2018-09-27,1.85
NV00000147,BOPHAN0002,CN00000009,2011-10-02,2013-09-07,1.94
NV00000028,BOPHAN0003,CN00000005,2012-07-11,2013-09-30,1.97
NV00000154,BOPHAN0001,CN00000004,2018-04-10,,1.44
NV00000166,BOPHAN0004,CN00000001,2011-04-06,,1.68
NV00000172,BOPHAN0001,CN00000009,2017-08-23,,1.25
NV00000093,BOPHAN0004,CN00000001,2018-05-26,,1.81
NV00000149,BOPHAN0004,CN00000004,2016-03-30,2018-05-30,1.24
NV00000091,BOPHAN0004,CN00000002,2016-01-28,2017-01-01,1.19
NV00000153,BOPHAN0004,CN00000002,2015-11-23,,1.84
NV00000200,BOPHAN0001,CN00000007,2016-08-26,2017-06-13,1.42
NV00000063,BOPHAN0004,CN00000007,2019-10-07,2022-01-06,1.58
NV00000005,BOPHAN0002,CN00000005,2010-03-02,2011-12-30,1.16
NV00000095,BOPHAN0001,CN00000009,2014-07-01,,1.55
NV00000144,BOPHAN0003,CN00000003,2017-12-15,2019-01-18,1.2
NV00000194,BOPHAN0001,CN00000001,2017-07-31,2018-06-24,1.23
NV00000159,BOPHAN0001,CN00000007,2015-07-15,,1.7
NV00000115,BOPHAN0003,CN00000001,2016-01-13,,1.94
NV00000071,BOPHAN0002,CN00000004,2010-09-15,,1.87
NV00000121,BOPHAN0002,CN00000004,2010-07-07,,1.1
NV00000035,BOPHAN0001,CN00000005,2011-03-03,2012-05-11,1.2
NV00000084,BOPHAN0002,CN00000006,2017-09-25,,1.44
NV00000012,BOPHAN0002,CN00000006,2018-05-24,2019-02-19,1.68
NV00000015,BOPHAN0003,CN00000009,2011-03-24,2013-02-08,1.54
NV00000157,BOPHAN0003,CN00000003,2018-04-19,,1.7
NV00000124,BOPHAN0001,CN00000009,2015-01-28,,1.01
NV00000139,BOPHAN0002,CN00000006,2015-02-18,2016-02-08,1.94
NV00000128,BOPHAN0001,CN00000008,2012-08-15,2014-12-01,1.62
NV00000176,BOPHAN0003,CN00000005,2010-09-10,,1.06
NV00000135,BOPHAN0001,CN00000005,2012-04-22,,1.89
NV00000009,BOPHAN0004,CN00000004,2011-02-18,2012-09-25,1.94
NV00000059,BOPHAN0002,CN00000003,2011-08-13,,1.53
NV00000141,BOPHAN0004,CN00000008,2010-06-05,2012-08-02,1.96
NV00000065,BOPHAN0003,CN00000009,2017-09-03,2019-01-01,1.01
NV00000145,BOPHAN0003,CN00000001,2014-04-11,,1.56
NV00000171,BOPHAN0003,CN00000009,2010-06-11,,1.94
NV00000013,BOPHAN0001,CN00000001,2016-05-02,,1.8
NV00000157,BOPHAN0003,CN00000007,2012-04-02,2013-03-09,1.08
NV00000069,BOPHAN0001,CN00000004,2012-06-12,2014-11-21,1.17
NV00000019,BOPHAN0003,CN00000006,2016-03-16,,1.04
NV00000109,BOPHAN0001,CN00000006,2014-09-19,2014-12-24,1.46
NV00000185,BOPHAN0004,CN00000002,2016-08-11,2016-08-17,1.86
NV00000143,BOPHAN0001,CN00000009,2014-10-11,2016-09-15,1.4
NV00000196,BOPHAN0004,CN00000007,2016-12-02,2016-12-15,1.78
NV00000186,BOPHAN0001,CN00000009,2019-09-14,2022-02-28,1.58
NV00000027,BOPHAN0002,CN00000005,2012-02-05,2014-05-31,1.34
NV00000140,BOPHAN0003,CN00000004,2019-11-02,2020-12-02,1.56
NV00000099,BOPHAN0002,CN00000007,2017-05-05,2017-07-09,1.1
NV00000123,BOPHAN0004,CN00000001,2011-09-24,2013-11-26,1.44
NV00000023,BOPHAN0004,CN00000001,2012-08-11,,1.94
NV00000177,BOPHAN0002,CN00000009,2019-03-20,2020-12-23,1.82
NV00000180,BOPHAN0004,CN00000003,2014-02-22,2015-04-04,1.12
NV00000158,BOPHAN0003,CN00000006,2016-04-04,,1.97
NV00000037,BOPHAN0004,CN00000010,2018-08-30,,1.56
NV00000037,BOPHAN0004,CN00000009,2018-08-27,2020-12-20,1.92
NV00000087,BOPHAN0002,CN00000010,2016-06-03,2017-08-14,1.77
NV00000194,BOPHAN0003,CN00000008,2019-04-24,2020-12-21,1.98
NV00000193,BOPHAN0003,CN00000007,2018-03-21,,1.62
NV00000168,BOPHAN0003,CN00000010,2019-10-19,2021-11-29,1.97
NV00000141,BOPHAN0003,CN00000007,2013-06-06,,1.83
NV00000193,BOPHAN0004,CN00000009,2013-12-29,2014-01-18,1.28
NV00000196,BOPHAN0004,CN00000009,2011-07-25,,1.45
NV00000090,BOPHAN0002,CN00000004,2018-10-25,2019-08-31,1.76
NV00000056,BOPHAN0001,CN00000004,2013-05-08,2015-03-10,1.05
NV00000048,BOPHAN0001,CN00000010,2016-11-09,,1.1
NV00000050,BOPHAN0004,CN00000008,2019-07-30,,1.48
NV00000050,BOPHAN0003,CN00000008,2014-09-13,2015-10-18,1.99
NV00000175,BOPHAN0003,CN00000008,2019-08-18,,1.75
NV00000096,BOPHAN0001,CN00000006,2013-04-24,2016-01-10,1.98
NV00000098,BOPHAN0003,CN00000007,2019-10-07,2022-05-28,1.62
NV00000108,BOPHAN0002,CN00000009,2013-05-14,2014-10-11,1.89
NV00000069,BOPHAN0004,CN00000001,2013-09-09,2014-03-08,1.28
NV00000169,BOPHAN0004,CN00000003,2016-06-14,,1.83
NV00000008,BOPHAN0001,CN00000008,2018-10-07,2021-05-17,1.71
NV00000067,BOPHAN0004,CN00000003,2015-06-04,2016-12-19,1.51
NV00000125,BOPHAN0003,CN00000001,2019-10-13,,1.66
NV00000038,BOPHAN0002,CN00000002,2019-11-09,,1.86
NV00000019,BOPHAN0003,CN00000002,2010-08-24,2012-07-01,1.48
NV00000196,BOPHAN0001,CN00000004,2011-12-19,,1.64
NV00000078,BOPHAN0001,CN00000004,2013-07-18,,1.6
NV00000062,BOPHAN0001,CN00000009,2019-08-24,2021-01-28,1.62
NV00000046,BOPHAN0004,CN00000003,2017-10-14,,1.07
NV00000190,BOPHAN0001,CN00000005,2015-05-11,,1.61
NV00000124,BOPHAN0003,CN00000001,2017-08-04,,1.54
NV00000037,BOPHAN0003,CN00000001,2019-01-02,,1.48
NV00000043,BOPHAN0001,CN00000001,2017-11-20,,1.01
NV00000081,BOPHAN0003,CN00000010,2015-03-30,2015-06-28,1.82
NV00000173,BOPHAN0004,CN00000004,2019-10-26,,1.33
NV00000010,BOPHAN0003,CN00000008,2012-01-14,,1.44
NV00000162,BOPHAN0001,CN00000005,2018-04-04,,1.87
NV00000105,BOPHAN0004,CN00000005,2010-07-16,,1.65
NV00000120,BOPHAN0002,CN00000004,2015-08-21,,1.35
NV00000011,BOPHAN0003,CN00000009,2018-09-11,,1.55
NV00000024,BOPHAN0001,CN00000008,2011-11-19,,1.32
NV00000108,BOPHAN0003,CN00000002,2016-08-03,2016-12-12,1.06
NV00000104,BOPHAN0002,CN00000001,2011-05-14,2012-04-14,1.99
NV00000123,BOPHAN0002,CN00000007,2013-03-05,,1.73
NV00000165,BOPHAN0004,CN00000010,2011-07-06,2013-09-30,1.21
NV00000142,BOPHAN0002,CN00000001,2016-11-08,,1.25
NV00000162,BOPHAN0001,CN00000004,2012-05-21,2014-11-24,1.67
NV00000078,BOPHAN0004,CN00000009,2011-03-10,,1.94
NV00000108,BOPHAN0002,CN00000007,2013-11-26,,1.37
NV00000196,BOPHAN0002,CN00000001,2018-05-18,2019-07-27,1.47
NV00000113,BOPHAN0002,CN00000002,2015-11-12,2018-07-01,1.76
NV00000105,BOPHAN0004,CN00000003,2019-07-03,2021-06-20,1.31
NV00000103,BOPHAN0003,CN00000004,2017-08-14,,1.18
NV00000100,BOPHAN0003,CN00000010,2010-04-28,2011-01-07,1.17
NV00000053,BOPHAN0004,CN00000001,2012-07-13,2014-01-18,1.36
NV00000116,BOPHAN0003,CN00000005,2015-07-04,2017-09-18,1.97
NV00000076,BOPHAN0003,CN00000002,2015-03-22,,1.9
NV00000015,BOPHAN0004,CN00000002,2017-04-05,,1.27
NV00000108,BOPHAN0004,CN00000001,2012-09-04,,1.83
NV00000136,BOPHAN0001,CN00000006,2012-09-24,2013-04-13,1.25
NV00000063,BOPHAN0002,CN00000004,2015-10-26,,1.21
NV00000186,BOPHAN0001,CN00000008,2018-07-20,,1.89
NV00000113,BOPHAN0004,CN00000005,2018-03-16,,1.79
NV00000188,BOPHAN0002,CN00000007,2010-08-15,,1.64
NV00000091,BOPHAN0003,CN00000003,2010-03-30,2011-11-07,1.01
NV00000150,BOPHAN0004,CN00000002,2013-03-23,2015-09-19,1.99
NV00000170,BOPHAN0003,CN00000008,2011-01-28,,1.18
NV00000105,BOPHAN0002,CN00000010,2010-06-20,2011-02-03,1.44
NV00000179,BOPHAN0004,CN00000010,2011-08-15,,1.29
NV00000128,BOPHAN0003,CN00000008,2015-12-22,,1.68
NV00000015,BOPHAN0003,CN00000005,2011-09-30,2012-09-25,1.56
NV00000084,BOPHAN0003,CN00000007,2013-06-07,2015-01-30,1.47
NV00000186,BOPHAN0001,CN00000006,2015-01-29,,1.62
NV00000197,BOPHAN0003,CN00000005,2016-12-18,,1.64
NV00000162,BOPHAN0003,CN00000010,2013-07-16,2016-02-26,1.69
NV00000036,BOPHAN0004,CN00000007,2017-02-01,,1.4
NV00000197,BOPHAN0003,CN00000006,2011-10-10,,1.77
NV00000002,BOPHAN0001,CN00000003,2019-04-11,,1.35
NV00000094,BOPHAN0001,CN00000004,2013-09-18,,1.8
NV00000184,BOPHAN0003,CN00000002,2015-05-26,2016-08-04,1.17
NV00000024,BOPHAN0003,CN00000006,2017-03-25,,1.65
NV00000038,BOPHAN0002,CN00000005,2015-05-30,2017-05-28,1.71
NV00000136,BOPHAN0002,CN00000009,2015-12-21,,1.12
NV00000167,BOPHAN0001,CN00000006,2018-12-10,,1.9
NV00000139,BOPHAN0003,CN00000007,2018-05-21,,1.86
NV00000007,BOPHAN0001,CN00000001,2018-09-16,2020-11-22,1.68
NV00000022,BOPHAN0003,CN00000005,2017-09-04,2018-06-03,1.11
NV00000129,BOPHAN0004,CN00000010,2015-10-10,,1.76
NV00000140,BOPHAN0001,CN00000002,2013-06-25,,1.17
NV00000193,BOPHAN0004,CN00000010,2013-11-14,2016-02-28,1.55
NV00000115,BOPHAN0002,CN00000010,2016-02-12,,1.63
NV00000107,BOPHAN0003,CN00000008,2018-10-06,2019-02-24,1.31
NV00000073,BOPHAN0004,CN00000007,2019-03-24,,1.68
NV00000177,BOPHAN0001,CN00000007,2014-11-17,2017-07-22,1.55
NV00000005,BOPHAN0004,CN00000006,2018-11-01,2020-09-14,1.15
NV00000117,BOPHAN0001,CN00000010,2012-11-10,2014-06-27,1.01
NV00000096,BOPHAN0004,CN00000006,2012-06-02,,1.32
NV00000047,BOPHAN0002,CN00000009,2019-10-05,,1.46
NV00000126,BOPHAN0002,CN00000009,2013-05-29,2015-12-30,1.11
NV00000089,BOPHAN0001,CN00000003,2011-07-29,,1.7
NV00000094,BOPHAN0003,CN00000005,2017-12-24,,1.95
NV00000094,BOPHAN0001,CN00000003,2014-10-11,,1.5
NV00000061,BOPHAN0001,CN00000007,2013-08-30,,1.66
NV00000014,BOPHAN0004,CN00000008,2014-10-31,2016-07-29,1.36
NV00000146,BOPHAN0004,CN00000002,2015-04-01,2015-08-10,1.31
NV00000045,BOPHAN0002,CN00000001,2014-02-02,2014-04-10,1.13
NV00000015,BOPHAN0003,CN00000004,2010-11-08,2010-11-18,1.63
NV00000011,BOPHAN0002,CN00000002,2013-10-07,2014-06-15,1.26
NV00000112,BOPHAN0004,CN00000001,2014-02-08,,1.24
NV00000081,BOPHAN0003,CN00000002,2016-04-12,2018-06-27,1.25
NV00000162,BOPHAN0003,CN00000002,2014-04-07,2014-08-19,1.92
NV00000086,BOPHAN0003,CN00000006,2016-10-22,2018-10-27,1.03
NV00000132,BOPHAN0004,CN00000009,2010-01-05,2010-09-23,1.44
NV00000108,BOPHAN0001,CN00000007,2016-03-22,2017-10-11,1.98
NV00000017,BOPHAN0003,CN00000009,2014-04-24,,1.75
NV00000194,BOPHAN0004,CN00000006,2010-02-01,2010-06-02,1.07
NV00000014,BOPHAN0002,CN00000010,2016-05-19,,1.63
NV00000177,BOPHAN0002,CN00000004,2015-11-25,,1.75
NV00000078,BOPHAN0003,CN00000004,2015-01-12,,1.19
NV00000017,BOPHAN0001,CN00000010,2016-07-02,2017-06-12,1.13
NV00000030,BOPHAN0001,CN00000005,2010-04-21,2011-11-23,1.67
NV00000132,BOPHAN0004,CN00000007,2016-05-01,2017-06-22,1.6
NV00000119,BOPHAN0003,CN00000006,2019-07-16,2020-06-03,1.27
NV00000071,BOPHAN0002,CN00000001,2011-11-02,2014-03-02,1.52
NV00000053,BOPHAN0002,CN00000007,2019-08-22,,1.45
NV00000063,BOPHAN0003,CN00000006,2014-06-26,2016-02-16,1.48
NV00000085,BOPHAN0002,CN00000007,2011-02-07,,1.53
NV00000098,BOPHAN0004,CN00000003,2013-07-04,,1.07
NV00000144,BOPHAN0003,CN00000009,2011-12-07,,1.72
NV00000171,BOPHAN0001,CN00000002,2018-09-29,2020-08-09,1.17
NV00000013,BOPHAN0001,CN00000005,2012-09-19,,2.0
NV00000145,BOPHAN0004,CN00000009,2012-06-17,2013-12-27,1.64
NV00000002,BOPHAN0004,CN00000007,2019-11-27,,1.32
NV00000111,BOPHAN0001,CN00000006,2010-05-29,,1.47
NV00000036,BOPHAN0001,CN00000004,2014-02-23,2015-06-24,1.88
NV00000162,BOPHAN0004,CN00000007,2017-10-14,,1.35
NV00000097,BOPHAN0004,CN00000005,2011-07-20,2013-06-18,1.67
NV00000005,BOPHAN0003,CN00000007,2012-11-01,2014-04-29,1.44
NV00000003,BOPHAN0004,CN00000006,2018-01-23,,1.24
NV00000119,BOPHAN0003,CN00000005,2018-09-23,,1.9
NV00000082,BOPHAN0001,CN00000004,2011-06-01,2013-11-27,1.65
NV00000083,BOPHAN0002,CN00000002,2017-01-01,2018-03-04,1.13
NV00000067,BOPHAN0001,CN00000010,2014-10-06,2015-03-28,1.81
NV00000099,BOPHAN0002,CN00000002,2019-10-16,2022-07-05,1.41
NV00000183,BOPHAN0002,CN00000006,2012-10-04,,1.19
NV00000185,BOPHAN0004,CN00000005,2014-10-07,2015-04-09,1.06
NV00000148,BOPHAN0001,CN00000009,2012-11-26,2014-08-15,1.39
NV00000200,BOPHAN0003,CN00000002,2019-09-05,,1.31
NV00000032,BOPHAN0003,CN00000006,2015-12-31,,1.17
NV00000149,BOPHAN0004,CN00000003,2013-08-29,,1.33
NV00000002,BOPHAN0003,CN00000009,2016-09-19,,1.91
NV00000086,BOPHAN0003,CN00000002,2012-05-19,2012-07-13,1.73
NV00000147,BOPHAN0002,CN00000010,2017-04-03,2018-01-29,1.16
NV00000029,BOPHAN0004,CN00000002,2018-07-08,2020-03-12,1.39
NV00000052,BOPHAN0001,CN00000006,2014-09-05,2015-01-29,1.47
NV00000126,BOPHAN0002,CN00000010,2014-05-15,,1.07
NV00000137,BOPHAN0002,CN00000007,2013-03-04,,1.41
NV00000069,BOPHAN0002,CN00000001,2013-02-10,2015-05-14,1.35
NV00000110,BOPHAN0001,CN00000007,2016-03-06,2018-09-24,1.11
NV00000097,BOPHAN0004,CN00000002,2017-03-21,2019-04-01,1.69
NV00000068,BOPHAN0002,CN00000008,2013-08-02,2014-12-10,1.05
NV00000129,BOPHAN0001,CN00000004,2018-09-25,2021-01-23,1.02
NV00000124,BOPHAN0003,CN00000005,2015-07-01,,1.36
NV00000088,BOPHAN0001,CN00000005,2012-07-01,2013-12-25,1.45
NV00000063,BOPHAN0004,CN00000008,2015-12-24,,1.74
NV00000037,BOPHAN0004,CN00000005,2012-02-07,2014-10-31,1.09
NV00000198,BOPHAN0001,CN00000008,2010-03-25,2010-11-24,1.95
NV00000056,BOPHAN0001,CN00000006,2011-07-07,,1.04
NV00000029,BOPHAN0002,CN00000005,2011-09-18,2012-07-12,1.56
NV00000092,BOPHAN0002,CN00000001,2010-07-06,,1.02
NV00000074,BOPHAN0003,CN00000003,2017-11-15,,1.15
NV00000059,BOPHAN0004,CN00000005,2010-04-14,2012-06-30,1.84
NV00000154,BOPHAN0003,CN00000007,2011-10-18,2013-09-22,1.06
NV00000146,BOPHAN0001,CN00000006,2019-11-14,,1.74
NV00000075,BOPHAN0003,CN00000001,2015-09-16,2016-10-08,1.06
NV00000125,BOPHAN0001,CN00000009,2017-04-21,2018-06-07,1.77
NV00000001,BOPHAN0002,CN00000008,2011-04-23,,1.06
NV00000127,BOPHAN0004,CN00000002,2015-01-13,2016-03-29,1.93
NV00000085,BOPHAN0003,CN00000009,2015-12-16,2017-10-05,1.91
NV00000138,BOPHAN0004,CN00000004,2013-06-05,,1.22
NV00000058,BOPHAN0003,CN00000003,2016-10-10,,1.51
NV00000038,BOPHAN0004,CN00000005,2014-02-23,,1.21
NV00000155,BOPHAN0001,CN00000001,2011-10-01,,1.8
NV00000189,BOPHAN0003,CN00000006,2010-02-21,,1.28
NV00000118,BOPHAN0001,CN00000001,2010-09-08,,1.26
NV00000007,BOPHAN0004,CN00000007,2015-03-19,,1.11
NV00000053,BOPHAN0002,CN00000006,2015-10-10,,1.74
NV00000075,BOPHAN0004,CN00000002,2018-01-24,,1.88
NV00000061,BOPHAN0003,CN00000007,2014-09-16,,1.35
NV00000153,BOPHAN0004,CN00000001,2017-08-24,,1.51
NV00000090,BOPHAN0002,CN00000008,2012-05-15,,1.4
NV00000051,BOPHAN0002,CN00000010,2011-07-11,2012-05-28,1.58
NV00000103,BOPHAN0003,CN00000001,2013-08-24,,1.38
NV00000126,BOPHAN0003,CN00000004,2015-07-09,,1.87
NV00000087,BOPHAN0002,CN00000002,2018-06-16,,1.42
NV00000177,BOPHAN0004,CN00000005,2019-07-03,,1.74
NV00000069,BOPHAN0003,CN00000008,2019-08-26,,1.89
NV00000113,BOPHAN0002,CN00000008,2019-07-22,,1.03
NV00000026,BOPHAN0001,CN00000006,2018-06-05,,1.22
NV00000074,BOPHAN0002,CN00000005,2019-03-02,2020-01-06,1.21
NV00000015,BOPHAN0004,CN00000005,2017-10-30,2019-05-20,1.41
NV00000159,BOPHAN0002,CN00000001,2015-01-10,,1.52
NV00000145,BOPHAN0004,CN00000005,2017-05-19,,1.99
NV00000117,BOPHAN0002,CN00000001,2018-04-25,2019-09-23,1.31
NV00000171,BOPHAN0003,CN00000005,2010-10-16,,1.31
NV00000168,BOPHAN0004,CN00000002,2014-08-01,2015-01-09,1.2
NV00000082,BOPHAN0001,CN00000001,2012-04-05,2014-11-30,1.72
NV00000097,BOPHAN0002,CN00000008,2019-08-13,2020-05-26,1.64
NV00000124,BOPHAN0002,CN00000001,2017-10-03,,1.33
NV00000035,BOPHAN0001,CN00000004,2012-07-27,2013-02-11,1.52
NV00000183,BOPHAN0001,CN00000009,2011-10-02,2013-08-12,1.47
NV00000024,BOPHAN0004,CN00000010,2018-05-30,,1.97
NV00000108,BOPHAN0001,CN00000009,2015-10-02,2018-02-23,1.24
NV00000034,BOPHAN0003,CN00000009,2016-08-11,2016-08-19,1.76
NV00000106,BOPHAN0004,CN00000003,2012-07-23,2013-11-07,1.14
NV00000191,BOPHAN0002,CN00000008,2011-08-29,,1.21
NV00000119,BOPHAN0003,CN00000004,2011-12-28,2012-08-04,1.09
NV00000176,BOPHAN0001,CN00000007,2015-01-02,2016-10-14,1.2
NV00000054,BOPHAN0003,CN00000008,2018-09-06,2019-01-07,1.83
NV00000038,BOPHAN0001,CN00000010,2017-06-12,,1.71
NV00000143,BOPHAN0003,CN00000006,2019-05-07,2021-12-05,1.88
NV00000022,BOPHAN0004,CN00000001,2016-01-04,2017-08-11,1.06
NV00000160,BOPHAN0002,CN00000009,2019-12-12,,1.48
NV00000132,BOPHAN0004,CN00000002,2010-09-13,2010-12-28,1.2
NV00000183,BOPHAN0004,CN00000003,2015-11-03,,1.33
NV00000167,BOPHAN0002,CN00000003,2011-02-05,2013-06-26,1.28
NV00000051,BOPHAN0003,CN00000006,2011-01-01,2011-04-29,1.95
NV00000161,BOPHAN0004,CN00000005,2017-01-29,2019-06-02,1.16
NV00000031,BOPHAN0002,CN00000004,2019-10-23,2021-02-22,1.57
NV00000111,BOPHAN0001,CN00000004,2017-10-08,2020-03-30,1.61
NV00000060,BOPHAN0003,CN00000008,2010-01-30,2012-10-20,1.28
NV00000064,BOPHAN0002,CN00000009,2016-03-16,2018-11-23,1.69
NV00000043,BOPHAN0001,CN00000009,2015-11-18,,1.47
NV00000105,BOPHAN0003,CN00000003,2019-04-26,,1.77
NV00000081,BOPHAN0002,CN00000006,2013-11-20,2015-12-12,1.96
NV00000135,BOPHAN0002,CN00000005,2014-05-26,2016-01-05,1.07
NV00000031,BOPHAN0004,CN00000009,2015-02-19,2017-01-11,1.99
NV00000046,BOPHAN0001,CN00000003,2017-06-02,,1.66
NV00000092,BOPHAN0001,CN00000006,2015-09-14,,1.38
NV00000017,BOPHAN0001,CN00000006,2016-09-29,2017-12-09,1.5
NV00000109,BOPHAN0003,CN00000002,2010-09-16,,1.33
NV00000021,BOPHAN0003,CN00000005,2014-02-27,,1.91
NV00000105,BOPHAN0001,CN00000001,2012-11-24,,1.88
NV00000170,BOPHAN0001,CN00000006,2015-11-30,,1.71
NV00000176,BOPHAN0002,CN00000005,2011-04-04,2013-07-25,1.79
NV00000099,BOPHAN0001,CN00000003,2017-09-20,2018-07-05,1.45
NV00000070,BOPHAN0002,CN00000010,2014-02-16,,1.85
NV00000011,BOPHAN0001,CN00000006,2018-06-05,2019-07-07,1.14
NV00000091,BOPHAN0002,CN00000003,2012-07-29,,1.63
NV00000144,BOPHAN0002,CN00000008,2012-07-26,2015-04-06,1.79
NV00000131,BOPHAN0003,CN00000010,2011-05-17,2012-04-18,1.09
NV00000088,BOPHAN0003,CN00000003,2017-08-05,,1.26
NV00000077,BOPHAN0001,CN00000004,2018-05-01,2019-10-24,1.07
NV00000131,BOPHAN0003,CN00000001,2015-07-28,2017-07-04,1.34
NV00000172,BOPHAN0003,CN00000002,2015-03-15,,1.83
NV00000067,BOPHAN0001,CN00000001,2016-03-20,,1.77
NV00000123,BOPHAN0003,CN00000003,2016-08-26,2019-05-09,1.25
NV00000014,BOPHAN0002,CN00000009,2018-01-14,2019-11-16,1.16
NV00000007,BOPHAN0003,CN00000003,2019-07-28,,1.7
NV00000160,BOPHAN0003,CN00000003,2016-05-11,,1.35
NV00000169,BOPHAN0002,CN00000003,2017-01-05,,1.11
NV00000120,BOPHAN0002,CN00000007,2019-07-25,2021-06-05,1.06
NV00000036,BOPHAN0003,CN00000004,2018-12-24,2020-02-17,1.07
NV00000132,BOPHAN0004,CN00000010,2015-10-25,,1.76
NV00000053,BOPHAN0003,CN00000006,2011-06-16,,1.04
NV00000133,BOPHAN0001,CN00000007,2014-12-30,2015-01-27,1.97
NV00000172,BOPHAN0004,CN00000005,2012-10-23,,1.89
NV00000126,BOPHAN0002,CN00000003,2015-11-20,,2.0
NV00000006,BOPHAN0001,CN00000003,2016-07-17,2017-07-15,1.88
NV00000048,BOPHAN0003,CN00000001,2013-07-26,,1.15
NV00000028,BOPHAN0001,CN00000003,2018-06-10,2020-10-26,1.49
NV00000008,BOPHAN0001,CN00000007,2015-01-30,,1.79
NV00000059,BOPHAN0004,CN00000008,2016-09-01,2017-12-12,1.44
NV00000001,BOPHAN0003,CN00000005,2017-05-08,2019-09-04,1.86
NV00000093,BOPHAN0001,CN00000006,2010-03-22,2012-05-14,1.31
NV00000079,BOPHAN0002,CN00000003,2012-12-10,2014-05-04,1.47
NV00000006,BOPHAN0002,CN00000009,2011-05-18,2012-02-19,1.19
NV00000189,BOPHAN0003,CN00000001,2010-10-14,2011-12-16,1.85
NV00000052,BOPHAN0003,CN00000006,2010-03-15,,1.03
NV00000067,BOPHAN0002,CN00000007,2013-03-11,,1.63
NV00000095,BOPHAN0004,CN00000003,2013-11-19,,1.86
NV00000071,BOPHAN0003,CN00000008,2015-05-26,,1.42
NV00000121,BOPHAN0002,CN00000010,2010-09-24,2010-10-08,1.6
NV00000070,BOPHAN0001,CN00000002,2012-03-01,2014-11-06,1.24
NV00000141,BOPHAN0001,CN00000004,2011-08-06,,1.25
NV00000109,BOPHAN0001,CN00000009,2018-06-27,2018-07-13,1.77
NV00000186,BOPHAN0004,CN00000001,2014-08-12,2016-08-18,1.98
NV00000095,BOPHAN0002,CN00000001,2015-03-29,2016-05-31,1.53
NV00000078,BOPHAN0003,CN00000010,2016-02-06,,1.41
NV00000044,BOPHAN0001,CN00000005,2015-02-16,,1.15
NV00000180,BOPHAN0003,CN00000001,2010-12-05,2011-08-10,1.14
NV00000100,BOPHAN0001,CN00000009,2016-08-03,2018-10-25,1.13
NV00000012,BOPHAN0004,CN00000004,2017-06-24,2019-10-26,1.55
NV00000037,BOPHAN0004,CN00000007,2014-11-19,,1.77
